,RMSE
"(0, 0, 0)",4.314524369377035
"(0, 0, 1)",4.306051308163642
"(0, 0, 2)",4.2981142660207485
"(0, 0, 3)",4.291549552416723
"(0, 0, 4)",4.288412193629572
"(0, 0, 5)",4.292974650905525
"(0, 0, 6)",4.286501033896209
"(0, 0, 7)",4.278267452365382
"(0, 1, 0)",6.469688043902632
"(0, 1, 1)",6.795240021375434
"(0, 1, 2)",7.309432526555812
"(0, 1, 3)",4.201594809188181
"(0, 1, 4)",8.8363404739046
"(0, 1, 5)",4.222159817478935
"(0, 1, 6)",4.248741731828086
"(0, 1, 7)",4.284867769216487
"(1, 0, 0)",4.3392119720236675
"(1, 0, 1)",4.321785134397805
"(1, 0, 2)",4.315659356122366
"(1, 0, 3)",4.313125065211619
"(1, 0, 4)",4.306016424456583
"(1, 0, 5)",4.300823648669994
"(1, 0, 6)",4.359097849609185
"(1, 0, 7)",4.2971184549075545
"(1, 1, 0)",9.995691356009962
"(1, 1, 1)",9.580057591910666
"(1, 1, 2)",4.321800908754812
"(1, 1, 3)",9.919608799594352
"(1, 1, 4)",4.31319930799233
"(1, 1, 5)",4.324828645439235
"(1, 1, 6)",4.313858202751698
"(1, 1, 7)",4.308337121405252
"(2, 0, 0)",4.192430946189999
"(2, 0, 1)",3.518909913660958
"(2, 0, 2)",1.422539791429868
"(2, 0, 3)",1.2849190766379062
"(2, 0, 4)",1.2793243077275995
"(2, 0, 5)",1.2866108963000715
"(2, 0, 6)",1.3479550092254993
"(2, 0, 7)",1.2976623016843154
"(2, 1, 0)",9.025566561476946
"(2, 1, 1)",10.487169371746392
"(2, 1, 2)",2.314853323044442
"(2, 1, 3)",0.4158556413182109
"(2, 1, 4)",0.7512970839539566
"(2, 1, 5)",1.074991075720385
"(2, 1, 6)",0.7576012928189192
"(2, 1, 7)",1.0745742370804643
"(3, 0, 0)",3.7699143723101325
"(3, 0, 1)",2.9474947666962197
"(3, 0, 2)",1.256325197132726
"(3, 0, 3)",1.4567144973650294
"(3, 0, 4)",1.2876345266124214
"(3, 0, 5)",1.2758594953138438
"(3, 0, 6)",1.2857399208922213
"(3, 0, 7)",1.1323409771088535
"(3, 1, 0)",5.157586328504824
"(3, 1, 1)",3.6202782807634253
"(3, 1, 2)",1.0673940496578813
"(3, 1, 3)",1.388472659729416
"(3, 1, 4)",0.4766123952031732
"(3, 1, 5)",0.4805178260295854
"(3, 1, 6)",0.5851996332137634
"(3, 1, 7)",0.6769920434325482
"(4, 0, 0)",2.9203549399076802
"(4, 0, 1)",2.657829561193012
"(4, 0, 2)",1.3752527566868775
"(4, 0, 3)",1.304136540643901
"(4, 0, 4)",1.258526348239342
"(4, 0, 5)",1.288155804883613
"(4, 0, 6)",1.306534439559911
"(4, 0, 7)",0.8761956900517652
"(4, 1, 0)",4.118377560205135
"(4, 1, 1)",2.5986705445725864
"(4, 1, 2)",1.0030297200190488
"(4, 1, 3)",1.5580649254894714
"(4, 1, 4)",0.7401089243059544
"(4, 1, 5)",0.45029693293954726
"(4, 1, 6)",0.4871493377743818
"(4, 1, 7)",0.5112722590450717
"(5, 0, 0)",2.5606403899078076
"(5, 0, 1)",2.564702930517629
"(5, 0, 2)",1.4836211960443797
"(5, 0, 3)",1.2898973614109635
"(5, 0, 4)",1.3074466664856055
"(5, 0, 5)",1.2315762090100946
"(5, 0, 6)",1.0277937926682348
"(5, 0, 7)",1.282836082715923
"(5, 1, 0)",3.6703309698536706
"(5, 1, 1)",1.7506391509919583
"(5, 1, 2)",2.8608868328165236
"(5, 1, 3)",0.8931018649759543
"(5, 1, 4)",0.8314243046262351
"(5, 1, 5)",0.5163193660598485
"(5, 1, 6)",0.4405927974175616
"(5, 1, 7)",0.4704346730377597
"(6, 0, 0)",2.5602973597454275
"(6, 0, 1)",2.5434086686915176
"(6, 0, 2)",1.3418896332344115
"(6, 0, 3)",2.648059352941974
"(6, 0, 4)",1.2813890062580897
"(6, 0, 5)",1.2857142687667105
"(6, 0, 6)",1.1287288140520157
"(6, 0, 7)",0.9172908387779983
"(6, 1, 0)",2.9470588938656315
"(6, 1, 1)",1.2597610283217562
"(6, 1, 2)",1.3385315730628218
"(6, 1, 3)",0.975688541533344
"(6, 1, 4)",0.8794250774661644
"(6, 1, 5)",0.6736086526831525
"(6, 1, 6)",0.5013303966527204
"(6, 1, 7)",0.42426332626732227
"(7, 0, 0)",2.480732399478039
"(7, 0, 1)",0.9983332202911612
"(7, 0, 3)",2.7719868701963524
"(7, 0, 4)",1.4571061288130753
"(7, 0, 5)",0.4838736949310557
"(7, 0, 6)",1.1990586460285992
"(7, 0, 7)",1.0781291990579762
"(7, 1, 0)",2.152469772199023
"(7, 1, 1)",1.0809415281615005
"(7, 1, 2)",0.7997950155046359
"(7, 1, 3)",1.327166997139954
"(7, 1, 4)",0.5639130875897292
"(7, 1, 5)",0.8816259378734966
"(7, 1, 6)",0.516770038975452
"(7, 1, 7)",0.4949837155183044
